Provider,Region,UTC,Batch,OCR,File,Time
AWS,eu-central-1,Midday,3,True,image_ping.png,0.180278337
AWS,eu-central-1,Midday,3,False,image_ping.png,0.0207079
AWS,eu-central-1,Midday,3,True,image_full.png,0.321553002
AWS,eu-central-1,Midday,3,False,image_full.png,0.753344898
AWS,eu-central-1,Midday,4,True,image_ping.png,0.177628726
AWS,eu-central-1,Midday,4,False,image_ping.png,0.021261528
AWS,eu-central-1,Midday,4,True,image_full.png,0.355715516
AWS,eu-central-1,Midday,4,False,image_full.png,0.6651812
AWS,eu-central-1,Midday,5,True,image_ping.png,0.259145734
AWS,eu-central-1,Midday,5,False,image_ping.png,0.01625763
AWS,eu-central-1,Midday,5,True,image_full.png,0.81494477
AWS,eu-central-1,Midday,5,False,image_full.png,0.926905613
AWS,eu-west-1,Midday,1,True,image_ping.png,0.488045612
AWS,eu-west-1,Midday,1,False,image_ping.png,0.121711478
AWS,eu-west-1,Midday,1,True,image_full.png,0.417676102
AWS,eu-west-1,Midday,1,False,image_full.png,1.179219984
AWS,eu-west-1,Midday,2,True,image_ping.png,0.224395611
AWS,eu-west-1,Midday,2,False,image_ping.png,0.01402601
AWS,eu-west-1,Midday,2,True,image_full.png,0.316699376
AWS,eu-west-1,Midday,2,False,image_full.png,0.701312614
AWS,eu-west-1,Midday,3,True,image_ping.png,0.233557746
AWS,eu-west-1,Midday,3,False,image_ping.png,0.013515811
AWS,eu-west-1,Midday,3,True,image_full.png,0.349634395
AWS,eu-west-1,Midday,3,False,image_full.png,0.620554591
AWS,eu-west-1,Midday,4,True,image_ping.png,0.27353155
AWS,eu-west-2,Midday,1,True,image_ping.png,0.678463845
AWS,eu-west-1,Midday,4,False,image_ping.png,0.009315939
AWS,eu-west-1,Midday,4,True,image_full.png,0.285592582
AWS,eu-west-2,Midday,1,False,image_ping.png,0.15947985
AWS,eu-west-2,Midday,1,True,image_full.png,0.403817707
AWS,eu-west-1,Midday,4,False,image_full.png,0.691360147
AWS,eu-west-2,Midday,1,False,image_full.png,1.201372411
AWS,eu-west-1,Midday,5,True,image_ping.png,0.192226406
AWS,eu-west-1,Midday,5,False,image_ping.png,0.010245807
AWS,eu-west-2,Midday,2,True,image_ping.png,0.224931433
AWS,eu-west-1,Midday,5,True,image_full.png,0.557945459
AWS,eu-west-2,Midday,2,False,image_ping.png,0.012651371
AWS,eu-west-1,Midday,5,False,image_full.png,0.899629778
AWS,eu-west-2,Midday,2,True,image_full.png,0.380530863
AWS,eu-west-2,Midday,2,False,image_full.png,0.700456255
AWS,eu-west-2,Midday,3,True,image_ping.png,0.212100497
AWS,eu-west-2,Midday,3,False,image_ping.png,0.011655928
AWS,eu-west-2,Midday,3,True,image_full.png,0.320455916
AWS,eu-west-2,Midday,3,False,image_full.png,0.55640433
AWS,eu-west-2,Midday,4,True,image_ping.png,0.148620557
AWS,eu-west-2,Midday,4,False,image_ping.png,0.010419306
